record_type,time_s,time_h,radius_cm,r_cm,is_surface,temperature_C,moisture_kgkg
sample_fixed,960,0.26666667,1.9323,0.3000,0,28.5695,2.5500
sample_fixed,960,0.26666667,1.9323,0.4000,0,28.6108,2.5500
sample_fixed,960,0.26666667,1.9323,0.5000,0,28.6650,2.5500
sample_fixed,960,0.26666667,1.9323,0.6000,0,28.7331,2.5500
sample_fixed,960,0.26666667,1.9323,0.7000,0,28.8159,2.5500
sample_fixed,960,0.26666667,1.9323,0.8000,0,28.9149,2.5500
sample_fixed,960,0.26666667,1.9323,0.9000,0,29.0313,2.5500
sample_fixed,960,0.26666667,1.9323,1.0000,0,29.1665,2.5500
sample_fixed,960,0.26666667,1.9323,1.1000,0,29.3223,2.5500
sample_fixed,960,0.26666667,1.9323,1.2000,0,29.5004,2.5500
sample_fixed,960,0.26666667,1.9323,1.3000,0,29.7024,2.5500
sample_fixed,960,0.26666667,1.9323,1.4000,0,29.9303,2.5499
sample_fixed,960,0.26666667,1.9323,1.5000,0,30.1861,2.5483
sample_fixed,960,0.26666667,1.9323,1.6000,0,30.4720,2.5347
sample_fixed,960,0.26666667,1.9323,1.7000,0,30.7911,2.4593
sample_fixed,960,0.26666667,1.9323,1.8000,0,31.1486,2.1945
sample_fixed,960,0.26666667,1.9323,1.9000,0,31.5562,1.5830
sample_surface,960,0.26666667,1.9323,1.9323,1,31.7030,1.3015
sample_fixed,1020,0.28333333,1.9280,0.0000,0,28.6309,2.5500
sample_fixed,1020,0.28333333,1.9280,0.1000,0,28.6372,2.5500
sample_fixed,1020,0.28333333,1.9280,0.2000,0,28.6563,2.5500
sample_fixed,1020,0.28333333,1.9280,0.3000,0,28.6884,2.5500
sample_fixed,1020,0.28333333,1.9280,0.4000,0,28.7341,2.5500
sample_fixed,1020,0.28333333,1.9280,0.5000,0,28.7938,2.5500
sample_fixed,1020,0.28333333,1.9280,0.6000,0,28.8686,2.5500
sample_fixed,1020,0.28333333,1.9280,0.7000,0,28.9594,2.5500
sample_fixed,1020,0.28333333,1.9280,0.8000,0,29.0672,2.5500
sample_fixed,1020,0.28333333,1.9280,0.9000,0,29.1935,2.5500
sample_fixed,1020,0.28333333,1.9280,1.0000,0,29.3396,2.5500
sample_fixed,1020,0.28333333,1.9280,1.1000,0,29.5071,2.5500
sample_fixed,1020,0.28333333,1.9280,1.2000,0,29.6977,2.5500
sample_fixed,1020,0.28333333,1.9280,1.3000,0,29.9132,2.5500
sample_fixed,1020,0.28333333,1.9280,1.4000,0,30.1554,2.5498
sample_fixed,1020,0.28333333,1.9280,1.5000,0,30.4262,2.5474
sample_fixed,1020,0.28333333,1.9280,1.6000,0,30.7275,2.5291
sample_fixed,1020,0.28333333,1.9280,1.7000,0,31.0614,2.4395
sample_fixed,1020,0.28333333,1.9280,1.8000,0,31.4317,2.1511
sample_fixed,1020,0.28333333,1.9280,1.9000,0,31.8483,1.5253
sample_surface,1020,0.28333333,1.9280,1.9280,1,31.9768,1.2834
sample_fixed,1080,0.30000000,1.9238,0.0000,0,28.7558,2.5500
sample_fixed,1080,0.30000000,1.9238,0.1000,0,28.7627,2.5500
sample_fixed,1080,0.30000000,1.9238,0.2000,0,28.7836,2.5500
sample_fixed,1080,0.30000000,1.9238,0.3000,0,28.8188,2.5500
sample_fixed,1080,0.30000000,1.9238,0.4000,0,28.8686,2.5500
sample_fixed,1080,0.30000000,1.9238,0.5000,0,28.9338,2.5500
sample_fixed,1080,0.30000000,1.9238,0.6000,0,29.0151,2.5500
sample_fixed,1080,0.30000000,1.9238,0.7000,0,29.1134,2.5500
sample_fixed,1080,0.30000000,1.9238,0.8000,0,29.2298,2.5500
sample_fixed,1080,0.30000000,1.9238,0.9000,0,29.3656,2.5500
sample_fixed,1080,0.30000000,1.9238,1.0000,0,29.5222,2.5500
sample_fixed,1080,0.30000000,1.9238,1.1000,0,29.7010,2.5500
sample_fixed,1080,0.30000000,1.9238,1.2000,0,29.9036,2.5500
